datetime,team.name,period,player.name,pass.recipient.name,pass.length
2023-08-13 00:12:42.541,Montpellier,1,Boubakar Kouyate,Issiaga Sylla,19.620653
2023-08-13 00:12:44.920,Montpellier,2,Téji Savanier,Akor Jerome Adams,25.355078
2023-08-13 00:12:45.746,Montpellier,1,Issiaga Sylla,Wahbi Khazri,9.0448885
2023-08-13 00:12:46.992,Montpellier,1,Wahbi Khazri,Boubakar Kouyate,7.7103825
2023-08-13 00:12:48.933,Le Havre,1,Loïc Négo,Rassoul N'Diaye,10.696261
2023-08-13 00:12:50.635,Le Havre,1,Rassoul N'Diaye,Loïc Négo,5.3009434
2023-08-13 00:13:14.103,Le Havre,1,Yoann Salmier,Issa Soumaré,18.704277
2023-08-13 00:13:15.261,Le Havre,1,Issa Soumaré,Rassoul N'Diaye,6.7178864
2023-08-13 00:13:17.967,Montpellier,1,Boubakar Kouyate,Akor Jerome Adams,24.667793
2023-08-13 00:13:22.821,Montpellier,1,Téji Savanier,Wahbi Khazri,9.2800865
2023-08-13 00:13:27.513,Le Havre,1,Loïc Négo,Oussama Targhalline,8.228001
2023-08-13 00:13:28.607,Le Havre,1,Oussama Targhalline,Rassoul N'Diaye,14.741099
2023-08-13 00:13:30.867,Le Havre,1,Rassoul N'Diaye,Issa Soumaré,16.858232
2023-08-13 00:13:31.998,Montpellier,1,Boubakar Kouyate,Joris Chotard,6.963476
2023-08-13 00:13:32.884,Montpellier,1,Joris Chotard,Téji Savanier,7.91012
2023-08-13 00:13:34.157,Le Havre,1,Rassoul N'Diaye,Oussama Targhalline,5.59017
2023-08-13 00:13:35.131,Le Havre,1,Oussama Targhalline,Rassoul N'Diaye,10.396634
2023-08-13 00:13:36.732,Le Havre,1,Rassoul N'Diaye,Arthur Desmas,27.518175
2023-08-13 00:13:41.181,Le Havre,1,Arthur Desmas,Gautier Lloris,20.13579
2023-08-13 00:13:46.680,Le Havre,1,Gautier Lloris,Oussama Targhalline,23.210558
2023-08-13 00:13:48.994,Le Havre,1,Daler Kuzyaev,Josue Casimir,9.2439165
2023-08-13 00:13:51.902,Montpellier,1,Christopher Jullien,Téji Savanier,22.020445
2023-08-13 00:13:52.193,Le Havre,2,Nabil Alioui,Arouna Sangante,20.808653
2023-08-13 00:13:55.314,Le Havre,2,Arouna Sangante,Issa Soumaré,43.792236
2023-08-13 00:13:57.494,Le Havre,2,Issa Soumaré,Rassoul N'Diaye,13.7411785
2023-08-13 00:14:01.684,Le Havre,2,Rassoul N'Diaye,Josue Casimir,7.668768
2023-08-13 00:14:03.057,Montpellier,2,Jordan Ferri,Falaye Sacko,4.5254836
2023-08-13 00:14:07.448,Montpellier,2,Falaye Sacko,Moussa Al Tamari,35.553482
2023-08-13 00:14:10.102,Montpellier,2,Jordan Ferri,Wahbi Khazri,9.617692
2023-08-13 00:14:17.354,Le Havre,2,Josue Casimir,Issa Soumaré,18.774717
2023-08-13 00:14:20.021,Montpellier,2,Falaye Sacko,Téji Savanier,32.467983
2023-08-13 00:14:23.047,Le Havre,2,Oussama Targhalline,Daler Kuzyaev,9.732934
2023-08-13 00:14:24.220,Le Havre,2,Daler Kuzyaev,Nabil Alioui,15.9380045
2023-08-13 00:14:25.273,Montpellier,2,Boubakar Kouyate,Akor Jerome Adams,49.221947
2023-08-13 00:14:38.594,Montpellier,1,Jordan Ferri,Wahbi Khazri,6.8883963
2023-08-13 00:14:39.951,Le Havre,1,Loïc Négo,Issa Soumaré,22.436132
2023-08-13 00:14:46.850,Le Havre,1,Issa Soumaré,Nabil Alioui,24.055977
2023-08-13 00:14:54.135,Montpellier,1,Issiaga Sylla,Téji Savanier,7.8
2023-08-13 00:14:55.529,Le Havre,1,Loïc Négo,Oussama Targhalline,10.312129
2023-08-13 00:14:59.021,Le Havre,1,Oussama Targhalline,Rassoul N'Diaye,19.070396
2023-08-13 00:15:01.862,Le Havre,1,Rassoul N'Diaye,Josue Casimir,31.846035
2023-08-13 00:15:20.016,Montpellier,1,Falaye Sacko,Téji Savanier,15.950548
2023-08-13 00:15:21.144,Montpellier,1,Téji Savanier,Falaye Sacko,5.6648035
2023-08-13 00:15:22.067,Le Havre,1,Josue Casimir,Nabil Alioui,9.420191
2023-08-13 00:15:23.123,Le Havre,1,Nabil Alioui,Daler Kuzyaev,5.841233
2023-08-13 00:15:26.304,Le Havre,1,Daler Kuzyaev,Nabil Alioui,5.0537114
2023-08-13 00:15:27.344,Le Havre,1,Nabil Alioui,Josue Casimir,14.989663
2023-08-13 00:15:29.159,Le Havre,1,Josue Casimir,Oussama Targhalline,13.106106
2023-08-13 00:16:00.266,Le Havre,2,Andy Élysée Logbo,Arouna Sangante,19.44865
2023-08-13 00:16:00.872,Montpellier,1,Christopher Jullien,Benjamin Lecomte,9.4541
2023-08-13 00:16:02.228,Le Havre,2,Arouna Sangante,Yoann Salmier,12.169634
2023-08-13 00:16:02.931,Montpellier,1,Benjamin Lecomte,Téji Savanier,42.54938
2023-08-13 00:16:04.090,Le Havre,2,Yoann Salmier,Daler Kuzyaev,17.37383
2023-08-13 00:16:05.169,Le Havre,1,Oussama Targhalline,Josue Casimir,21.44621
2023-08-13 00:16:06.388,Le Havre,2,Daler Kuzyaev,Loïc Négo,11.416217
2023-08-13 00:16:07.037,Le Havre,1,Josue Casimir,Issa Soumaré,26.532433
2023-08-13 00:16:07.773,Le Havre,2,Loïc Négo,Yoann Salmier,16.902662
2023-08-13 00:16:08.949,Le Havre,1,Issa Soumaré,Nabil Alioui,28.927668
2023-08-13 00:16:10.173,Le Havre,2,Yoann Salmier,Arouna Sangante,27.83523
